-47,-52,8,-37,-10,-16,-4,2,-13,14,-44,-53,-12,-53,-53,-52,15,-15,-26,20,-35,-22,-34,-42,-30,-38,15,-36,10,-39,-11,-37,-38,-18,-14,-21,4,16,-29,-37,-23,13,-18,-10,-31,-31,7,-45,-17,17,-37,-58,-34,-3,4,-45,12,15,4,-31,-19,1,6,-28,-9,6,10,10,-12,-28,-28,-15,-32,-32,-36,7,9,-19,-35,1,-29,-15,-24,-27,-33,-35,-22,9,-33,-7,17,10,11,-51,20,17,-22,13,23,1,19,-56,3,17,20,17,6,-46,-8,-24,7,21,25,17,17,-48,21,21,6,19,-55,22,16,25,24,-52,18,19,8,-53,22,21,18,18,-3,17,-13,18,-54,14,21,23,-52,17,-50,8,9,-53,-50,-49,1,-4,12,12,-44,3,22,23,-50,-20,-1,46,33,25,41,9,-3,37,8,-11,-5,17,8,-9,-12,5,40,-32,7,21,20,-9,33,4,34,5,4,-3,33,31,13,24,35,-13,5,-8,32,29,34,36,-2,28,-30,-1,24,37,36,29,37,9,18,25,32,0,20,-8,22,35,30,25,36,36
-36,-37,-37,-42,-26,-37,-36,-27,-39,-31,-20,-39,-31,-32,-56,-41,-40,-15,-4,2,-30,-12,-29,-37,-24,-16,-5,-30,-35,-33,-36,-33,-25,-34,-31,-29,-37,-10,-29,-36,-27,-22,-38,-29,-40,-40,-38,-29,-24,-39,-38,-36,-26,5,-37,-24,-62,-30,-22,-36,-36,-29,-37,-37,-33,-34,-30,-30,-35,-31,-31,-37,-39,-39,-38,-33,-34,-32,-36,-35,-29,-40,-35,-32,-28,-41,-32,-23,-34,-36,-34,-25,17,19,17,-8,1,20,26,-19,-6,-46,-62,18,27,-31,11,22,20,-31,16,25,26,21,16,8,20,18,12,15,16,22,13,17,20,11,20,-3,16,15,22,21,27,-37,-40,18,17,22,16,-9,-2,9,-2,22,20,-39,17,10,22,-58,17,-36,26,19,20,31,17,10,20,20,-40,-35,19,-25,13,-38,-6,-41,12,-35,-36,-34,-35,-35,1,-20,-30,-35,-37,-35,-38,-36,-12,-18,-25,-37,-41,-31,-39,-35,-3,-31,-34,-10,-38,-22,-38,-1,-25,-33,-20,-33,-36,-16,-39,-25,-23,2,-12,-39,-19,-36,-6,-19,-26,-35,-29,-34,-7,-1,-18,-19
5,-13,-10,-11,-32,14,-1,12,-16,11,-3,-6,-9,-5,-11,-11,5,0,13,-4,-12,-2,11,-28,5,17,24,4,-5,20,-3,-7,-9,8,3,-4,-7,12,-14,-14,-11,-7,2,-3,2,2,-5,6,-6,9,-12,-4,9,-2,-1,-5,19,2,1,16,-11,4,-11,-3,10,-12,9,9,-14,-5,-5,-11,-14,-14,-5,2,-7,5,-8,-7,-8,-11,-9,-7,3,-14,4,-4,-1,-1,16,4,12,-8,21,18,23,-23,49,5,-8,-16,33,-10,14,-29,29,32,-22,-5,24,36,28,39,37,-22,-29,36,2,46,35,-12,41,45,45,26,35,27,2,46,32,-6,35,18,-17,43,30,42,-1,-23,6,-27,-25,31,34,-9,16,-27,2,-32,34,-12,-13,46,27,41,-8,35,34,-13,-30,-14,13,-4,13,-9,-4,-17,-8,-27,-32,-9,-26,-7,-37,-22,-11,-35,-6,-35,-17,-15,-29,-32,-34,-2,-35,-28,-27,-19,0,-6,-24,-3,-29,-20,-27,-2,-25,-36,-15,-35,-26,-10,-26,-10,-3,-3,13,-2,-30,1,-7,-38,-24,-6,-36,1,10,1,-15,-9
-21,-43,-35,-31,-43,-37,-44,-27,-36,-29,-45,-26,-28,-35,-40,-39,-34,-42,-41,-38,-37,-14,-23,-42,-29,-15,11,-25,-38,-31,-27,-41,-41,-31,-37,-36,-38,-37,-46,-31,-43,-41,-32,-31,-41,-41,-33,-41,-43,-31,-43,-40,-38,-41,-31,-34,-32,-24,-30,-19,-45,-40,-35,-41,-32,-23,-37,-37,-44,-41,-41,-42,-37,-37,-43,-29,-27,-38,-40,-44,-43,-39,-43,-38,-40,-38,-39,-38,-30,-37,-26,-35,-10,18,9,-7,-4,-19,24,-39,-27,-43,7,-2,8,30,10,8,13,25,12,2,3,17,0,1,17,10,10,15,14,11,10,14,27,-6,14,13,18,10,17,19,10,14,-41,10,11,15,14,2,-1,13,12,15,16,-39,-10,21,11,13,0,-38,13,8,12,4,14,20,16,13,15,16,58,5,55,3,36,10,25,11,7,6,-2,2,9,-1,1,5,23,5,7,13,3,25,16,27,10,31,1,16,30,5,6,2,6,4,3,7,19,4,4,8,11,11,5,8,17,16,24,3,26,7,7,-1,1,7,10,4,23,8,10,27
-36,-44,-17,-5,-34,-27,-52,1,-33,-16,-34,-31,-37,-29,-39,-26,-16,-38,-31,17,-32,1,5,-48,-5,-24,-18,-33,-45,-22,-46,-27,-17,-31,-30,-31,-32,-25,-36,-35,-25,-18,-8,9,-23,-23,-4,-3,2,-59,-34,-16,-38,-34,-28,-35,-23,3,-5,-29,-35,-13,10,-33,-16,-26,-33,-33,-34,-30,-30,21,-36,-36,-36,-2,-28,-37,-21,-33,-29,-34,-35,-29,-38,-33,-39,-33,-33,-28,3,-12,24,22,23,6,-44,5,28,-33,20,-50,14,16,16,22,19,24,27,24,17,27,30,19,23,10,22,19,22,22,32,36,18,17,23,1,21,20,19,23,24,20,23,21,-38,19,23,20,19,16,15,34,22,18,26,-35,4,23,16,15,25,-37,29,18,21,17,23,20,26,12,-40,-39,20,-42,23,-36,13,-38,-2,-36,-33,-23,-40,-40,-45,-37,-42,-34,-41,-34,-36,-38,8,13,-34,-2,-64,-30,-22,-29,-20,-27,-24,-29,-40,-39,-40,-28,-7,-38,-19,-40,-24,-29,-41,-42,-38,-9,-13,-31,-41,-24,7,-39,-42,-28,-35,-36,5,-16,-15,14
3,-22,22,21,3,-8,-9,44,6,22,5,-3,2,7,-16,-14,-2,14,5,42,6,53,2,3,32,11,45,-1,16,24,-2,-2,6,7,16,25,8,43,-15,13,10,11,10,3,5,5,51,2,8,-22,5,15,48,39,6,-1,7,43,40,-2,12,30,23,18,13,30,8,8,2,33,33,10,-1,-1,4,9,36,9,6,38,1,-1,1,13,5,-5,-2,44,2,33,5,9,28,58,61,61,43,56,62,1,26,18,20,51,56,15,54,46,56,-9,59,51,53,60,62,7,58,59,59,66,62,61,46,63,61,60,53,55,61,53,59,64,56,54,0,56,63,56,57,31,61,37,-11,55,58,8,37,-5,19,47,37,0,56,51,55,57,56,43,58,54,-17,-11,46,23,36,14,19,-18,21,24,7,1,-14,13,18,-1,-13,-40,-4,-40,-16,-16,-16,2,-4,21,2,-14,-10,5,-20,2,4,26,-16,1,-21,24,4,-8,28,-16,-4,-5,-6,6,8,24,12,-7,0,29,15,-12,-12,-12,-16,9,18,21,4,33
-33,-64,-37,-34,-38,-22,-21,-9,-38,-40,-33,-37,-41,-35,-32,-4,0,-23,-39,3,-33,3,-6,-55,-49,-50,-8,-35,2,-10,-43,-36,-28,-34,-22,-41,-44,5,-64,-28,-19,-40,-37,-32,-13,-13,-11,-46,-24,-38,-7,-64,-2,-41,-24,-31,-26,-14,-32,-42,-41,-64,-64,-23,-38,-31,-39,-39,-29,-32,-32,-8,-44,-44,-45,4,-14,-33,-41,-39,-32,-35,-41,-33,-43,-34,-38,-21,-33,-31,-21,-12,26,19,25,12,17,15,22,-35,17,-53,12,10,9,20,13,17,23,21,14,11,26,21,19,-16,18,16,13,20,16,22,9,15,19,8,14,8,16,7,15,21,8,13,-8,14,19,14,10,11,16,16,5,11,12,-20,17,12,7,14,13,-34,22,15,16,17,15,16,12,19,-1,6,54,14,44,2,15,-8,-31,-7,1,10,-7,1,43,-4,-12,-31,18,-31,7,-3,14,31,11,37,5,-3,-3,-4,34,-1,15,10,-8,5,-9,38,32,7,39,3,-7,-31,-4,20,42,19,38,20,-4,13,0,33,-7,-9,-7,11,28,23,-8,33
-14,-16,-12,-7,-18,-16,10,13,-10,14,-17,-16,8,-16,-18,0,-14,-16,-11,4,-4,26,5,-15,23,-18,21,-8,26,-9,-1,-9,1,-17,20,-11,-14,14,-13,6,3,-3,-5,-6,-16,-16,21,-17,-5,12,-8,4,2,-17,-13,-10,-9,-12,-11,-16,-11,6,-10,1,0,-6,-9,-9,-12,-14,-14,1,-17,-17,-16,-14,4,-12,-11,-1,-15,4,-15,-8,-20,-3,-16,15,-9,-1,-3,2,20,37,34,29,16,29,44,-7,-6,-15,9,25,34,37,37,22,41,36,40,32,41,36,34,35,43,39,22,46,37,38,41,30,41,21,29,36,30,33,41,45,35,40,-9,35,42,44,33,-4,32,41,30,37,33,-15,20,24,-11,28,24,-21,41,10,-20,21,38,33,33,1,-51,-48,7,-28,-30,-56,-20,-51,-11,-51,-48,-47,-49,-22,-16,-34,-44,-37,-51,-37,-53,-54,-54,-23,-56,-21,-35,-33,-48,-49,-12,-47,-13,-31,-54,-49,-55,-39,-47,-48,-43,-34,-50,-47,-54,-34,-25,-26,-26,-43,-41,-38,-40,-50,-43,-38,-52,-23,-11,-10,-44,-35
5,15,-5,-4,-10,-1,-9,37,-8,9,-12,-5,11,2,-8,-2,-2,-2,-8,1,-1,-2,-1,-5,6,5,-2,-6,-10,5,-7,-4,2,-4,-6,-4,-1,23,-10,-3,-7,-4,-4,-6,-2,-2,2,1,0,5,-11,-5,12,-3,-4,1,4,3,7,1,-7,-4,1,-7,5,10,-2,-2,7,-10,-10,-7,-11,-11,-11,0,-2,2,-1,-4,7,3,5,-8,3,-6,-5,-7,-3,-8,7,3,2,47,43,18,3,37,54,-10,21,-6,33,32,34,50,33,34,55,43,53,47,50,46,44,1,53,51,41,43,45,44,35,40,60,42,37,37,45,16,47,52,39,48,0,40,53,38,35,40,34,36,31,41,47,1,37,-11,45,-6,49,3,44,53,34,36,44,52,47,2,-6,13,43,-5,34,0,13,-9,5,-11,-3,-5,1,-10,-9,-14,-11,-6,-4,-6,8,-10,-12,4,-1,10,-15,3,-6,-13,16,4,1,2,-8,-7,-12,5,4,-5,-4,-7,-12,-3,-13,6,6,25,5,4,-10,-7,4,-18,-7,-8,-5,1,14,5,-9,10
-50,-77,-52,-54,-48,-38,-52,-24,-45,-52,-57,-54,-46,-53,-58,-47,-50,-47,-51,-15,-57,-46,-49,-28,-40,-50,-54,-52,-47,-51,-53,-46,-54,-48,-54,-50,-50,-53,-45,-49,-54,-77,-57,-45,-55,-55,-55,-52,-52,-54,-45,-46,-49,-52,-50,-38,-48,-49,-49,-55,-49,-53,-45,-52,-45,-48,-48,-48,-56,-55,-55,-51,-56,-56,-49,-55,-48,-53,-55,-51,-54,-53,-51,-50,-52,-54,-52,-52,-53,-47,-44,-49,-40,-6,-12,-38,-12,-31,3,-53,-42,-53,-37,-38,-31,-8,-5,-32,-5,-26,-9,4,-3,-6,-51,-45,5,-5,-2,-4,-11,-3,-17,0,0,-14,-42,-6,-17,-20,-17,2,-19,-27,-54,-10,-32,-16,-6,-7,-19,-21,-15,-17,-43,-53,-8,-20,0,-23,15,-54,4,-4,-17,3,-18,-37,-43,-22,2,1,47,-2,44,-1,1,6,20,-2,-1,-1,2,-4,-1,-2,0,-1,-1,-1,0,1,-2,3,11,12,-2,4,-1,4,6,-2,15,2,1,2,-3,-3,28,-2,-2,2,2,-3,-1,13,2,-2,20,4,2,3,7,5,-5,-1,2,2,14,-1,-5,-2
